МО;№п.п;Управляющая компания / ТСЖ / ЖСК;штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;Сумма штрафов (руб);Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;"устные 
замечания ";прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов 
(руб)";Оплачено;прекращено;"устные 
замечания ";штрафы;"Сумма штрафов
 (руб)";Оплачено;прекращено;устные замечания ;"Координаты объекта 
с точностью до 13 знака, lat";"Координаты объекта 
с точностью до 13 знака, Ing"
;86;"ООО ""Жилстройсервис""";1;40000;;;5;4;20 000;;;1;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.372194766407866;48.578667137771845
;87;"директор ООО ""Жилстройсервис"" Болотов А.Н.";;;;;;1;500;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.372194766407866;48.578667137771845
;88;"ООО ""УК Жилстройсервис""";;;;;6;1;5 000;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3667625151856;48.577554859221
;89;директор Погодин П.П.;1;4000;;;;;;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3667625151856;48.577554859221
;90;директор Болотов А.Н.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.3667625151856;48.577554859221
;91;"ООО ""УК ЦЭТ""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.312571333171455;48.3999761939049
;92;"ООО ""РЭС""";;;;;3;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37046341136239 ;48.57737749814988
;93;Директор Егоров Д.А.;3;12 000;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37046341136239 ;48.57737749814988
;94;"ООО ""ГК РЭС""";;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37046341136239 ;48.57737749814988
;95;"ТСЖ ""Ульяновский проспект №2""";;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.369771592708226;48.58856515958906
;96;Председатель Васильев В.П.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.369771592708226;48.58856515958906
;97;"ООО ""СтройСнаб""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.253675916653094;48.31764947623016
;98;"ООО ""УК Дом""";;;;;3;1;5 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.33284587498252;48.389989659190206
;99;"ООО УК ""Солидарность""";;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26763057776044;48.27594732865693
;100;Директор Данилов А.М.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26763057776044;48.27594732865693
;101;"ТСЖ ""Навигатор""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31516500707914  ;48.3986508473754
;102;Председатель правления Трифонов А.А.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31516500707914  ;48.3986508473754
;103;"ТСЖ ""Вектор""";;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2853691338978 ;48.29911675304176
;104;"председатель ТСЖ ""Гвоздика"" Сорокин А.В.";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.291357461663516;48.30959513783458
;105;"ТСЖ ""Доброволец""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2613279743897 ;48.339532613754294
;106;председатель Семенов С.К.;;;;;;;;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.2613279743897 ;48.339532613754294
;107;"ТСЖ ""Алые Паруса""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 54.32062165402549 ;48.382972329854965
;108;Кукин В.И.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 54.32062165402549 ;48.382972329854965
;109;председатель Горицкая Л.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 54.32062165402549 ;48.382972329854965
;110;Кондоминиум Агат;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.30065745656039;48.346514236181996
;111;"Председатель ТСЖ ""Свияга"" Овчинникова В.И. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.42383446409013;48.26061716303231
;112;ТСЖ «Луч»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.34704028914698;48.53740269318226
;113;ТСЖ «Симбирский Новый Дом»;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.272486332210434;48.30011386424305
;114;председатель Филиппов С.П.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.272486332210434;48.30011386424305
;115;"ООО УК ЖКХ ""Симбирск""";;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32421491918353  ;48.394804224371924
;116;"ООО ЖК и СР УК ""УправДом""";;;;;1;;;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.34408693311866;48.39166184887293
;117;"ООО ""Альфаком-Север""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;; 54.32092505742376;48.399492893368034
;118;"ЖСК ""Комплекс""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37605312714106  ;48.57719762250782
;119;"ООО ""Управляющая организация Партнер""";2;90 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.350948714122254;48.54303600266578
;120;генеральный директор Пешне Д.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.350948714122254;48.54303600266578
;121;"ТСЖ ""Содружество-2""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.25852762986171  ;48.33105213940147
;122;"ООО ""КПД-2 Жилсервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32437385910574 ;48.40379146859051
;123;директор Новиков С.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32437385910574 ;48.40379146859051
;124;"ООО УК ""Содружество""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.265538093208356;48.298484086990385
;125;"ООО ""Капиталь""";;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32098777619212;48.39940706267954
;126;Директор Масленников А.В.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32098777619212;48.39940706267954
;127;"ТСЖ ""Юность""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.306910198422344;48.38616617023946
;128;председатель Мельникова С.В.;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.306910198422344;48.38616617023946
;129;"ТСЖ ""Вымпел""";;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37930910328285 ;48.58957970514896
;130;"ТСЖ ""Симбирск""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32657906236563;48.40005196630958
;131;председатель правления Лапушкина Т.В.;1;4 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.32657906236563;48.40005196630958
;132;"ЖСК ""Астрея""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37836397603933 ;48.61018225550653
;133;председатель правления Морозова М.В.;;;;;;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.37836397603933 ;48.61018225550653
;134;"ООО ""ТехноГрад""";;;;;1;1;5 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.39113719806058;48.58479732647539
;135;"ООО ""УК Симбирская""";12;490 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.31497633367183;48.364494927227526
;136;"ТСЖ ""Северное""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.33285939478813;48.38920159265401
;137;председатель Королев Н.Г.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.33285939478813;48.38920159265401
;138;ОАО РЖД Строй;1;40 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27173114157162 ;48.32181042060257
;139;и.о. управляющего Быков С.В.;1;4 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27173114157162 ;48.32181042060257
;140;"ОАО ""Комета""";;;;;;1;5 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.360396139101006 ;48.54920072481038
;141;директор Кныш Л.И.;;;;;;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.360396139101006 ;48.54920072481038
;142;"УМУП ""Городской теплосервис""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.320946421015016;48.39176980778577
;143;ген.инженер Половов О.В.;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.320946421015016;48.39176980778577
;144;"ООО ""УК Дом Сервис""";;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27696528749604 ;48.28979121521118
;145;директор Михайлов И.Ю.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.27696528749604 ;48.28979121521118
;146;"ООО ""УК Авион""";;;;;;;;;;;1;250000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.26955742575781;  48.3278411999345
;147;"ООО ""Диком""";;;;;;1;5 000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29534729847655;48.30645795911553
;148;директор Хайруллов А.Р.;;;;;;1;500;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29534729847655;48.30645795911553
;149;"ЖСК ""Прибрежное""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29534729847655;48.30645795911553
;150;председатель Косецкий А.А.;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.29534729847655;48.30645795911553
;151;"ЖСК ""Чайка""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.30141868364129;48.33339437842371
;152;председатель Бизяев А.А.;;;;;;;;;;;1;30000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;54.30141868364129;48.33339437842371
