Рег. номер маршрута  ;порядковый номер маршрута;наименование маршрута ;наименования промежуточных остановочных пунктов по маршруту регулярных перевозок или наименования поселений, в границах которых расположены промежуточные остановочные пункты ; наименования улиц, автомобильных дорог, по которым предполагается движение транспортных средств между остановочными пунктами по маршруту регулярных перевозок;протяженность маршрута регулярных перевозок, км; порядок посадки и высадки пассажиров (только в установленных остановочных пунктах или, если это не запрещено настоящим Федеральным законом, в любом не запрещенном правилами дорожного движения месте по маршруту регулярных перевозок) ; вид регулярных перевозок (по регулируемым тарифам или по нерегулируемым тарифам);Вид;Класс;Максимальное количество;Экологические характеристики;дата начала осуществления регулярных перевозок ;наименование юридического лица, фамилия, имя и, если имеется, отчество индивидуального предпринимателя;место нахождения ;
139;127;Череповец - Домозерово;Череповец 104-й мкр., Ильинское, Воронино, Починок, Озеро, Домозерово;г.Череповец 104-й мкр., АД Сергиев Посад-Калязин-Рыбинск-Череповец, АД Починок-Домозерово-Горка-Кресты-Шишовка;19,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;3;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
140;128;Череповец - Лапач-Доронино;104-й мкр, отв.Городище, отв.Ильинское,  Новоселы, Ильинское, Весовая, Юрьевец, отв.Баскаково, Лапач, Дачи, Ваньгино, Доронино;г.Череповец 104-й мкр., АД Сергиев Посад-Калязин-Рыбинск-Череповец, АД Матинга-Новоселы, АД Ильинское-Юрьевец, АД Бурцево-Лапач-Баскаково-Юрьевец;18,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
141;602;Череповец - Архангельское-Спас-Лом;Автовокзал, 104-й мкр.  Ильинское, Воронино, Починок, Доронино, Мастерские, Н.Домозерово, С.Домозерово, Козохта, Горка, Чернево, отв.Сурково,  Сурково Минино Гоша Кресты Карпово Наговицыно Воробъево Пронино Н.Деревня Шормонга Кузнецово Верховье Старики Шалимово Фоминское Архангельское Спас-Лом;г. Череповец (М. Горького, Комсомольская, Сталеваров, Октябрьский пр-т, 104-й мкр),. АД Сергиев Посад-Калязин-Рыбинск-Череповец, АД Починок-Домозерово-Горка-Кресты-Шишовка, АД Воскресенское-Архангельское-Шалимово-Сурково,  АД Архангельское-Спас-Лом                             ;66,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
142;604;Череповец -Мусора-Шишовка;104-й мкр, Ильинское, Воронино, Починок, Озеро, Бурцево, Н.Домозерово, С.Домозерово, Козохта, Горка, Чернево, Витержево, отв. Сурково, Толмачево, Чабино. Батран, Рябово, Фокино, Шиловка, Аксеново, Сычево, отв.Воскресенское, Ильмовик, Дубнишное, Шишовка  ;г. Череповец (104-й мкр) АД Сергиев Посад-Калязин-Рыбинск-Череповец, АД Починок-Домозерово-Горка-Кресты-Шишовка, ;75,6;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
143;606;Череповец - Даргун;23 мкр. Пр.Победы ул.Суворова ул.Первомайская Красноармейская пл. ул.Сталеваров Дом Торговли Октябрьский пр-т 104 мкр. отв.Городище отв.Ильинское Воронино Починок  Озеро Бурцево Н.Домозерово С.Домозерово Козохта Горка Чернево отв.Сурково  Сурково Дмитриевское Гоша  База отдыха "Охотник" Ульяново Лихачево Поповское Даргун;г. Череповец (23 мкр. Пр.Победы ул.Сталеваров  Октябрьский пр-т 104 мкр.), АД Сергиев Посад-Калязин-Рыбинск-Череповец, АД Починок-Домозерово-Горка-Кресты-Шишовка, АД Воскресенское-Архангельское-Шалимово-Сурково   АД Дмитровское-Гоша АД Гоша-Ульяново-Даргун;65,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
144;607;Череповец - Харламовское;разв. Суда -Владимировка - Хохлово - отв.Елехово - Песье - разв.Кисово - Чаево - отв.Починок - Миндюкино - Починок - П.Лагерь - Вешняки - Харламовское ;М.Горького - Комсомольская - Добролюбова - Школьная - Кирилловское шоссе - подъезд к г.Черепоцу 1 категория - автодорога А114 вологда-Новая Ладога федерального значения, категория III-А - автодорога А-114 Харламоское IV категория;91,7;только в установленных остановочных пунктах;регулируемый тариф;автобус;ОМ М С Б;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
145;608;Череповец - Остров;разв.Суда - Владимировка - разв.Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово - Коротово - Дмитриево - отв.Ягница - Н.Раменье - Средние Чуди - Задние Чуди - Булдырево - Ягница - Петряево - Козлово - Бол.Двор - Васюково - Никулино - Еврасово;г. Череповец (М.Горького  Комсомольская  Добролюбова  Школьная  Кирилловское шоссе) АД подъезд к г.Череповцу   АД А114 Вологда -Новая Ладога  АД Песье - Коротово - Большой Двор  АД Большой Двор - Остров  ;117,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С ;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
146;609;Череповец - Дор;Череповец Ильинское Воронино Починок Жары Конечное Новинка Максаково Михалево Мякса Лукинское Добрынское Санниково Новое Щетинское Павлоково Хвощевик Ильинское Хмелевое Дор;г. Череповец  АД Сергиев Посад-Калязин-Рыбинск-Череповец,;57;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
147;610;Череповец - Дуброво;разв.Суда - Владимировка - разв.Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово - Коротово - Сосновка - отв.Степаново;М.Горького - Комсомольская - Добролюбова - Школьная - Кирилловское шоссе - подъезд к г.Череповцу 1 категория,автодорога А114 Вологда Новая Ладога федерального значения,категория III-А - автодорога Песье - Коротово - Большой Двор 4 категория - автодорога Суда - Супроново категория 4 техническая, 2 уровень содержания;75;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
148;611;Череповец - Козлово;Автовокзал Солманское Тоншалово Войново  Борисово Отв.Борисово отв.Белозерск Раменье Толстиково Ракольское Шабанова Гора Дермянинское Фролово Тюшково Отв.Поповка Дмитриевское Лаптево Поповка Дорка Пажецкое Прислон Козлово;г. Череповец (М.Горького  Комсомольская  Добролюбова  Школьная  Кирилловское шоссе) АД подъезд к г.Череповцу АД А114 Вологда Новая Ладога АД Череповец-Белозерск-Липин Бор АД Сокольниково-Поповка АД Поповка-Пажецкое-Козлово;72,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С ;2;0 - 5;01.05.2011;ООО "Таксопарк" ;Вологодская обл. Череповецкий р-н, п. Солманское, ул.Центральная, д.13В;
149;612;Череповец - Большой Двор;разв.Суда - Владимировка - разв.Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово - Коротово - Дмитриево - отв.Ягница - Н.Раменье - Средние Чуди - Задние Чуди - Булдырево - Ягница - Петряево - Козлово ;г. Череповец (М.Горького Комсомольская Добролюбова  Школьная  Кирилловское шоссе) АД Подъезд к г.Череповцу АД А114 Вологда-Новая Ладога АД Песье - Коротово - Большой Двор ;110,2;только в установленных остановочных пунктах;по нерегулируемым тарифамф;автобус;ОМ М С ;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
150;615;Череповец - Кисово;разв.Шухободь - Нелазское - разв.Суда - Межное - Владимировка - разв.Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово - Корото;М.Горького - Комсомольская - Добролюбова - Школьная - Кирилловское шоссе - подъезд к г.Череповцу 1 категория - автодорога А 114 Вологда -Новая Ладога федерального значения  категория III-А - автодорога Песье - Коротово - Большой Двор 4 категория - автодорога Суда - Супроново  категория 4 техническая, 2 уровень содержания;72,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
151;616;Череповец - Коротово;Тоншалово - разв.Шухободь - Нелазское - разв.Суда - Владимировка - разв.Хохлово - Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово -Коротово (Сосновка);М.Горького - Комсомольская - Добролюбова - Школьная - Кирилловское шоссе - подъезд к г.Череповцу 1 категория - автодорога А114 Вологда -Новая Ладога федерального значения  категория III-А - автодорога Песье - Коротово - Большой Двор 4 категория ;67;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С Б;3;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
152;620;Череповец - Плосково;раз.Суда - Владимировка - раз.Хохлово - отв.Елехово - Песье - отв.Коротово - Рыжково - Шеино - Улома - Катилово - Анфалово - Коротово - Дмитриево - отв.Ягница - Н.Раменье - Средние Чуди - Задние Чуди - Булдырево - Ягница - Новая Ягница - Пленишник -  Раменье;М.Горького - Комсомольская - Добролюбова - Школьная - Кирилловское шоссе - подъезд к г.Череповцу 1 категория - автодорога А 114 Вологда -Новая Ладога федерального значения  категория III-А - автодорога Песье - Коротово - Большой Двор 4 категория - автодорога Ягница - Пленишник - Мышкино 4 категория - автодорога Пленишник-Плосково-Лоша 4 категория;124,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;ОМ М С ;2;0 - 5;01.05.2011;МУП «Автоколонна № 1456» ;г.Череповец, ул.Боршодская, 12;
153;400;Центр-Дикая;г.Вологда (ост.ВГТУ, ост.Центр, ост.Кирова,ост.Гончарная, ост.Петина, ост.Ярославская, ост.Новгородская, ост.Костромская, ост.Псковская, ост.мкр.ПЗ), Копрецово, д.Новое, Пионерлагерь, Тимофеевская, д.Юрьево, д.Кедрово, д.Марково, Два Ручья, Дикая (дачи);г.Вологда (ул.Ленина, ул.С.Орлова, пр.Победы, ул.Ленинградская, Окружное шоссе), АД А-114 Вологда-Новая Ладога, подъезд к п.Дикая;27,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
154;401;Вокзал-Дикая; г.Вологда (Автовокзал Вологда, ост.Можайского, ост.Тепличный мкр., ост.Кирпичный мкр., ост.Ярославская, ост.Костромская, ост.Псковская, ост.мкр.ПЗ), Копрецово, Новое, Пионерлагерь, Тимофеевская, Юрьево, Кедрово, Марково, Дикая; г.Вологда (пл.Бабушкина, Пошехонское шоссе, Петина, Ленинградская, Окружное шоссе), АД А-114 Вологда-Новая Ладога, АД Лесково-Горка ;26,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
155;402;Вологда-Дачи Автомобилист; г.Вологда (Автовокзал Вологда, ост.Рабочая, ост.Беляева, ост.Архангельская), Дачи, отв.Надеево, Кожино, Костино, Дуравино, Чекменево, Селезенцево, дачи Автомобилист-1, дачи Автомобилист-2; г.Вологда (Зосимовская, Чехова, Яшина, Герцена, Конева), АД М-8 Москва-Архангельск;24,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
156;403;Вологда-Кубенское; г.Вологда (Автовокзал Вологда, ост.Центр, ост.Пролетарская, ост.Машзавод, ост.Клубова, ост.Григорьевское), Майский, Хреново, Семенково, отв.Молочное, Кузнецовка, Копылово, Миглеево, Колбино, Сущево(в прямом направлении),Клокуново, Кашкалино, Кубенское;В прямом направлении:  г.Вологда (Мира,Октябрьская, Пролетарская, Клубова), АД Вологда-Медвежьегорск, АД Кубенское-Северная Ферма                        В обратном направлении: АД Кубенское-Северная Ферма, АД Вологда- Медвежьегорск,  г.Вологда(Клубова, пр.Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);32,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;2;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
157;404;Вологда-Вотча; г.Вологда (Автовокзал Вологда), Молочное, Колбино, Кашкалино, Кулешово, Лахмино, Евлашово, Воздвиженье-1, Турутино, Борисово, Новое-3, Кольцеево, Пучка, Шолохово, Тимофеево, Владычное, Телячье, Перхурьево, Новленское, Овсянниково, Волшницы, Антоново-2, Вотча;В прямом направлении:  г.Вологда (пл.Бабушкина, Зосимовская, Герцена, Октябрьская, Пролетарская, Клубова), АД Вологда-Медвежьегорск, АД Новленское-Вотча   В обратном направлении: АД Вологда-Вотча, АД Вологда-Медвежьегорск,  г.Вологда (Клубова, пр.Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);74,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
158;405;Вологда-Куркино; г.Вологда (Автовокзал Вологда, ост.Центр, ост.Пролетарская, ост.Машзавод, ост.Клубова, ост.Григорьевское), Майский, Хреново, Семенково, отв.Молочное, Кузнецовка, Копылово, Миглеево,Колбино, п.Куркино;В прямом направлении:  г.Вологда (пл.Бабушкина, Мира,Октябрьская, Пролетарская, Клубова), АД Вологда-Медвежьегорск, подъезд к с.Куркино   В обратном направлении: подъезд к с.Куркино, АД Вологда-Медвежьегорск,  г.Вологда(Клубова, пр.Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);26,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б,С ;1;0 - 5;01.06.2011;ООО "ВологдаТранс";г.Вологда, ул.Старое шоссе, д.5;
159;406;Вологда-Северная Ферма; г.Вологда (Автовокзал Вологда, ост.Центр), отв.Молочное, Кузнецовка, Копылово, Миглеево, Колбино, Сущево (в прямом направлении), Клокуново, Кашкалино, Кожзавод, Телевышка, Обухово, Пыркино, Остахово, Павлово, Дроздово, Минино, Антоново, Макарово, Сысоево, Середнее, Северная Ферма;В прямом направлении:  г.Вологда (пл.Бабушкина, Зосимовская, Герцена, Октябрьская, Пролетарская, Клубова), АД Вологда-Медвежьегорск, АД Кубенское-Северная Ферма   В обратном направлении: АД Кубенское-Северная Ферма, АД Вологда-Медвежьегорск,  г.Вологда (Клубова, пр.Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);66,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С Б;1;0 - 5;01.06.2011;ИП Львов Виктор Николаевич; г.Вологда;
160;407;Вологда-Аэропорт-Семенково; г.Вологда (Автовокзал Вологда, ост. кафе "Гудок", ост.Герцена, Советский проспект, Прокатова, Чайковского, Кооперативный техникум, Добролюбова, Горького, к.Маркса, Лаврова, Бригантина,  ост.ПАТП-2, ост.ВПБА, ост.Железнодорожная, ж/д переезд), Рыбкино, в/часть, п.Дорожный, дачи "Подшипник", дачи "Авиатор", Маега, Семенково; г.Вологда (Зосимовская, Предтеченская, Горького, Чернышевского, Железнодорожная), АД М-8 Москва-Архангельск, АД Маега-ж/д переезд-Борилово-2;17,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С;1;0 - 5;01.06.2011;ИП Люлин Сергей Александрович;г.Вологда;
161;408;Вологда-Виктово; г.Вологда (Автовозал Вологда, ост.Машзавод), отв.Молочное, Колбино, Кашкалино, Турутино, Филисово, Острецово, по требованию(отворотка д.Кочеурово), Бугрино, Прокунино, Дор, Некрасово, Потрохово, Высоково, Мынчаково, Доманово, Виктово;В прямом направлении:  г.Вологда (пл.Бабушкина, Зосимовская, Герцена, Октябрьская, Пролетарская, Клубова), АД Вологда-Медвежьегорск, АД Новое-Виктово В обратном направлении: АД Новое-Виктово, АД Вологда-Медвежьегорск,  г.Вологда (Клубова, пр.Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);69,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б ;1;0 -5 ;01.06.2011;ИП Львов Виктор Николаевич;г.Вологда;
162;409;Вологда-Васильевское; г.Вологда (Автовокзал Вологда, ост.Рабочая, ост.Льнокомбинат, ост.Горка, ост.Телецентр, ост.Лоста), Л. Карьер, Огарково, В.Часть, отв.Грибково, Первомайское, Кузнецово, Дачи, п.Васильевское; г.Вологда(Зосимовская, Чехова, Яшина, Герцена, Можайского, ст.Московское шоссе), АД Вологда-Ростилово, АД Бетонка-Васильевское;22,2;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;2;0 - 5;01.06.2011;ООО ВологдаТранс;г.Вологда, ул.Старое шоссе, д.5;
163;410;Вологда-Конева-Надеево; г.Вологда (Автовокзал Вологда, ост.Рабочая, ост.Беляева, ост.Архангельская), Дачи, отв.Надеево, Щекино, п.Надеево; г.Вологда (Зосимовская, Чехова Яшина, Герцена, Конева), АД М-8 Москва-Архангельск, АД Старое Московское шоссе-Надеево;15,8;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С;1;0 - 5;01.06.2011;ИП Неклюдов Олег Константинович;Вологодская область, Вологодский район;
164;411;Вологда-Лоста-Надеево; г.Вологда (Автовокзал Вологда, ост.Рабочая, ост.Льнокомбинат, ост.Горка, ост.Телецентр, ост.Лоста), Л. Карьер, Лисицино, Санаторий, Конюхово, отв.Надеево, Щекино, п.Надеево; г.Вологда (Зосимовская, Чехова, Яшина,Герцена, Можайского), АД Вологда-Ростилово, АД Старое Московское шоссе-Надеево;18,3;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С;1;0 - 5;01.06.2011;ИП Неклюдов Олег Константинович;Вологодская область, Вологодский район;
165;412;Вологда-Заря; г. Вологда (Автовокзал Вологда, ост.Центр, ост.Пролетарская, ост.Машзавод, ост.Клубова, ост.Григорьевское), Майский, Хреново, Семенково, Марфино, Магазин, Маурино, Дачи, Дитятьево, Сортоучасток, отв.Горка, Деревенька, Заря;В прямом направлении:  г.Вологда (Мира, Октябрьская, Пролетарская, Клубова), АД Вологда-Межвежьегорск, АД Семенково-Заря В обратном направлении:  АД Семенково-Заря, АД Вологда-Медвежьегорск,  г.Вологда (Клубова, Проспект Победы, Мальцева, Октябрьская, Мира, пл.Бабушкина);28;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО ВологдаТранс;г.Вологда, ул.Старое шоссе, д.5;
166;413;Вологда-Ермаково; г.Вологда (Автовокзал Вологда, мкр.Тепличный, ост.Ярославская, ост. ПУ-28), Копрецово, Ватланово, Новое, ост.по требованию, Ермаково; г.Вологда (пл.Бабушкина, Пошехонское шоссе, Петина, Ленинградская, Окружное шоссе), АД А-114 Вологда-Новая Ладога, АД А-114-Ермаково;15,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.06.2011;ООО ВологдаТранс;г.Вологда, ул.Старое шоссе, д.5;
167;414;Вологда-Фетинино-Кубенское; г.Вологда (Вокзал, ост.Мира, ост.пр.Победы, ост.Старый Рынок, ост.кинотеатр "Родина"(ул.Чернышевского), ост.К.Маркса, ост.Бригантина, Прилуки, Семенково, Борилово, Аэродром, Вертлово, Дубровское, Фетинино, Морино, Кубенское;В прямом направлении:  г.Вологда (пл.Бабушкина, ул.Мира, пр.Победы, ул.Чернышевского, ул.Железнодорожная), АД Прилуки-Дубровское, АД Дубровское-Кубенское;31,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М, С, Б;4;0 - 5;06.12.2010;ИП Львов Виктор Николаевич; г.Вологда;
168;415;Вологда-Васильевское-Княгинино; г.Вологда (Автовокзал Вологда, Элетротовары-Зосимовская-Яшина (в обратном направлении), Рабочая, Конева, Льнокомбинат, Горка, Телецентр, Лоста), Карьер, Огарково, в/часть, отв.Грибково, Грибково, Первомайское, Васильевское, о.Княгинино, Княгинино;В прямом направлении:  г.Вологда (пл.Бабушкина, Зосимовская, Чехова, Яшина, Ветошкина, левичева, Герцена, Можайского, Московское шоссе), АД Вологда-Ростилово, АД подъезд к п.Грибково, АД Бетонка-Васильевское, АД подъезд к п.Княгинино(Паприха)  В обратном направлении: АД подъезд к п.Княгинино, АД Вологда-Ростилово,  г.Вологда (Московское шоссе, Можайского, Герцена, Зосимовская, пл.Бабушкина);32,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С;1;0 - 5;01.06.2010;ИП Неклюдов Олег Константинович;Вологодская область, Вологодский район;
169;416;Федотово-Стризнево-Вологда; г.Вологда (Автовокзал Вологда, Ярославская, Псковская (в обратном направлении), мкр.ПЗ), Копрецово, Ватланово, Новое 1, Лесково, о.Сосновка, Лапач, Терпелка, Прохорово, Палагино, Сокольники 1, Новое 2, Опучково, Уткино, Аксеново, Пионерский Лагерь, Кузнецовка, Брагино, отв.Хреново, Стризнево, Игнатово, Остюнино, Починок, отв.Кипелово, Федотово; г.Вологда (пл.Бабушкина, Пошехонское шоссе, Петина, Ленинградская, Окружное шоссе), АД А-114 Вологда-Новая Ладога,  АД Опучково-Уткино-Янгосарь, АД Кузнецовка-Большое Село-Антоново, АД подъезд к п.Федотово;49,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С;3;0 - 5;28.06.2010;ИП Неклюдов Николай Константинович;Вологодская область, Вологодский район;
170;417;Вологда-Сосновка-Уткино; г.Вологда (Автовокзал Вологда, Ярославская, Псковская (в обратном направлении), мкр.ПЗ), Копрецово, Ватланово, Новое 1, Лесково, о.Сосновка, Сосновка, Лапач, Терпелка, Прохорово, Палагино, Сокольниково, Новое 2, Опучково, Уткино; г.Вологда (пл.Бабушкина, Пошехонское шоссе, Петина, Ленинградская, Окружное шоссе), АД А-114 Вологда-Новая Ладога, АД Опучково-Уткино-Янгосарь, АД подъезд к п.Сосновка, АД ;39,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С;2;0 - 5;28.06.2010;ИП Неклюдов Николай Константинович;Вологодская область, Вологодский район;
171;418;Вологда-Новленское-Нефедово;Автовокзал Вологда, отв.Молочное, Колбино, Кашкалино, Кулешово, Лахмино, Евлашево, Воздвиженье, Турутино, Борисово, Новое, Кольцеево, Пучка, Шолохово, Тимофеево, Владычное, Телячье, Перхурьево, Новленское, Каргачево, Подолец, Жуково, Сяма, Березник, Владышнево, Первомайское, Нефедово; г.Вологда (пл.Бабушкина, Мира, Пошехонское шоссе, Петина, Ленинградская, Окружное шоссе, Ленинградское шоссе), АД А-114 Вологда-Новая Ладога, АД Вологда-Медвежьегорск;84,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М, С;1;0 - 5;01.10.2013;ИП Люлин Сергей Александрович;г.Вологда;
172;419;Вологда-Лоптуново-Надеево; г.Вологда (Автовокзал Вологда, Рабочая, Беляева, Воркутинская, Архангельская), Дачи Рассвет, Козицыно (по требованию), отв.Надеево, Щекино, Лоптуново, Надеево; г.Вологда (пл.Бабушкина, Зосимовская, Чехова, Яшина, Герцена, Конева), новое Московское шоссе, подъезд к п.Надеево;17,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С, Б;4;0 - 5;01.02.2011;ИП Романова Нина Анатольевна;Вологодская область, Вологодский район;
173;420;Вологда-Васильевское-Грибково; г.Вологда (Автокзал Вологда, Рабочая, Льнокомбинат, Горка, Телецентр, Лоста), Лисицинский Карьер, Огарково, В/часть, отв.Грибково, Первомайское, отв.Васильевское (по требованию), дачи Васильевское, Васильевское, Грибково; г.Вологда (пл.Бабушкина, Зосимовская, Чехова, Яшина, Герцена, Можайского), АД Вологда-Ростилово, Лоста-Харачево, АД бетонка-Васильевское, подъезд к п.Грибково;31,7;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С, Б;4;0 - 5;01.02.2011;ИП Романова Нина Анатольевна;Вологодская область, Вологодский район;
174;421;Вологда-Харачево-Грибково; г.Вологда (Автокзал Вологда, Рабочая, Льнокомбинат, Горка, Телецентр, Лоста), Харачево, Лисицинский Карьер, Огарково, В/часть, отв.Грибково, Грибково; г.Вологда (пл.Бабушкина, Зосимовская, Чехова, Яшина, Герцена, Можайского), АД Вологда-Ростилово, Лоста-Харачево, подъезд к п.Грибково;19,1;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;С, Б;4;0 - 5;01.02.2011;ИП Романова Нина Анатольевна;Вологодская область, Вологодский район;
175;422;Вологда-Новый Источник-Погорелово; г.Вологда (Автовокзал Вологда, Ярославская, Псковская, мкр.ПЗ), Копрецово, Новое,Лесково, отв.Сосновка, Сосновка, Лапач, Ерофейка, Новый Источник, Анциферово, Погорелово; г.Вологда (пл.Бабушкина, Пошехонское шоссе, Ярослаская, Ленинградская, Окружное шоссе), А-114 Вологда-Новая Ладога, АД подъезд к п.Сосновка, АД Погорелово-Новый Источник;60,9;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;М С Б;3;0 - 5;01.09.2010;ИП Кузнецов Сергей Александрович;Вологодская область, Вологодский район;
176;423;Вологда (Бывалово)-Непотягово-Перьево ; г.Вологда (ост.Бывалово, Детская больница- Больничный комплекс- Таксопарк (в обратном направлении), Пригородный, Абрамцево, Непотягово, п.Можайское,  Нагорное (пруд), Нагорное, Токарево, Дюково, Перьево; г. Вологда (Пошехонское шоссе), АД Вологда-Норобово, АД подъезд к Непотягово, АД Вологда-Норобово;20,5;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.09.2010;ИП Кольцов Григорий Васильевич  ;г. Вологда;
177;424;Вологда-Непотягово-Перьево ; г.Вологда (Автовокзал Вологда, Бывалово(РСМ, Детская больница-Больничный комплекс-Таксопарк - в обратном направлении), Пригородный, Абрамцево, Непотягово, п.Можайское,  Нагорное (пруд), Нагорное, Токарево, Дюково, Перьево;г. Вологда (пл.Бабушкина, Пошехонское шоссе), АД Вологда-Норобово, АД подъезд к Непотягово, АД Вологда-Норобово;22,4;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.09.2010;ИП Кольцов Григорий Васильевич  ;г. Вологда;
178;425;Вологда-Непотягово-Норобово ; г.Вологда (Автовокзал Вологда, Бывалово(РСМ), Детская больница-Больничный комплекс-Таксопарк - в обратном направлении), Пригородный, Абрамцево, Непотягово, Можайское, Нагорное (пруд), Нагорное, Токарево, Дюково, Перьево, Подгорное, Красково, отв.Минькино, Семейкино, Ременниково, Захарово, Норобово; г.Вологда (пл.Бабушкина, Пошехонское шоссе), АД Вологда-Норобово, АД подъезд к Непотягово, АД Вологда-Норобово;47;только в установленных остановочных пунктах;по нерегулируемым тарифам;автобус;Б;1;0 - 5;01.09.2010;ИП Кольцов Григорий Васильевич  ;г. Вологда;
